lr,dropout,hidden_sizes,val_rmse
0.001,0.1,"[128, 64, 32]",3.6337238440213606
0.001,0.2,"[256, 128, 64]",3.6599260418616346
0.001,0.1,"[256, 128, 64]",3.6620082017274407
0.0005,0.1,"[256, 128, 64]",3.6790203291467947
0.0005,0.2,"[256, 128, 64]",3.727033861207581
0.001,0.3,"[256, 128, 64]",3.798761472141809
0.0005,0.1,"[128, 64, 32]",4.0639589477628295
0.0005,0.3,"[256, 128, 64]",4.157603108130492
0.0005,0.2,"[128, 64, 32]",4.460367730893923
0.001,0.2,"[128, 64, 32]",4.584389836470006
0.001,0.3,"[128, 64, 32]",5.0789936907226405
0.0005,0.3,"[128, 64, 32]",5.977188935205133
